ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001193125-26-135334	2884976	Class C Google Stock Units	F7			59820.0				D			
0001193125-26-135334	2884975	Class C Google Stock Units	F6			28578.0				D			
0001193125-26-135314	2885479	Common Unit				366766.0				D		See footnote	F6
0001193125-26-135314	2885480	General Partnership Unit				622296.0				I			
0000950103-26-005134	2885367	Common Stock				203615.0	F1			D			
0001193125-26-135307	2885395	Class M Common Stock				5406586.0				I		By BD Investment Holdings II LLC	F2
0001213900-26-037857	2885498	Class B Ordinary Share				3500000.0				I		Held by PLOUTOS GROUP LIMITED (BVI)	F1
0001140361-26-012433	2884968	Class A Common Stock, par value $0.01 per share				134877.0				D			
0001193125-26-135284	2885391	ADS	F1			65802.0				D			
0001193125-26-135283	2885247	ADS	F1			345547.0				D			
0001193125-26-135258	2885399	Class C Google Stock Units	F1			262.0				D			
0001193125-26-135258	2885402	Class C Google Stock Units	F4			1683.0				D			
0001193125-26-135258	2885401	Class C Google Stock Units	F3			1147.0				D			
0001193125-26-135258	2885400	Class C Google Stock Units	F2			954.0				D			
0001213900-26-037813	2885194	Ordinary Shares				17516.0				D			
0002125577-26-000001	2885003	CLASS B ORDINARY SHARE				2200000.0				D			
0002125577-26-000001	2885001	CLASS A ORDINARY SHARE				7020000.0				I		INTEGRATED INTELLIGENCE INVESTMENT LIMITED	
0002125577-26-000001	2885002	CLASS B ORDINARY SHARE				3510000.0				I		INTEGRATED INTELLIGENCE INVESTMENT LIMITED	
0001104659-26-038036	2885473	American Depositary Shares	F1			80608.0				I		By ESOP	
0001437749-26-010779	2885350	Common Stock				3788.0				I		By 401(k) plan.	
0001437749-26-010778	2885398	Common Stock				108630.25	F3			I		By Trust	
0001437749-26-010778	2885397	Common Stock				16986.0	F2			I		By limited liability company	
0001437749-26-010778	2885396	Common Stock				13053.94				I		By 401(k) plan	
0001437749-26-010777	2885178	Common Stock				856929.0				I		See Footnote	F6
0001437749-26-010777	2885179	Common Stock				42765.85	F7			I		By 401(k)	
0001437749-26-010777	2885174	Common Stock				1307766.0				I		By trust	F2
0001437749-26-010777	2885175	Common Stock				153470.0				I		By NexPoint Advisors, L.P.	F3
0001437749-26-010777	2885176	Common Stock				409063.0				I		See Footnote	F4
0001437749-26-010777	2885177	Common Stock				15090.0				I		See Footnote	F5
0001104659-26-038031	2884916	Common Stock				423155.0				D			
0001104659-26-038031	2884915	Common Stock				36928.0				I		See Footnote	F4
0001193125-26-135216	2885136	Class A Common Stock				235115.0				I			
0001193125-26-135216	2885134	Class A Common Stock				11094612.0				I		Bessemer Venture Partners Century Fund Institutional L.P.	F3, F4, F2
0001193125-26-135216	2885133	Class A Common Stock				9225192.0				I		Bessemer Venture Partners VIII Institutional L.P.	F3, F4, F2
0001193125-26-135216	2885132	Class A Common Stock				7700.0	F1			D		Bessemer Venture Partners VIII L.P.	F3, F4, F2
0001193125-26-135216	2885135	Class A Common Stock				1483570.0				I		Bessemer Venture Partners Century Fund L.P.	F3, F4, F2
0001104659-26-038027	2885531	Series B Shares				132.0				D			
0001104659-26-038022	2885125	Series B Shares				12000.0	F1			D			
0000947871-26-000369	2885146	Common Shares				22783.0				D			
0001213900-26-037783	2884919	Class C ordinary shares				500000.0				I			
0001213900-26-037783	2884918	Class A ordinary shares				375.0				D		See Footnote	F1, F2
0001213900-26-037782	2885186	Class A ordinary shares				3500.0				D		See Footnote	F1, F2
0001213900-26-037782	2885187	Class C ordinary shares				500000.0				I			
0001193125-26-135199	2885095	Common Stock				3054235.0	F1			D			
0001292814-26-002037	2885015	Class A Common Shares				3718313.0	F1			I		By Corporation	
0001292814-26-002037	2885014	Class A Common Shares				862441.0				D		By Corporation	
0001292814-26-002037	2885016	Class B Common Shares				120459508.0	F1			I			
0000921895-26-000858	2885560	Common Stock, $0.50 par value	F1			560091.0				D		By The Radoff Family Foundation	F2
0000921895-26-000858	2885561	Common Stock, $0.50 par value	F1			560090.0				I			
0001193125-26-135180	2885322	Common Stock, Par Value $0.01				6277.0	F1			D			
0001493152-26-014408	2885027	Ordinary Shares				2400.0				D			
0001104659-26-038004	2884936	Ordinary Shares				2286150.0				I		By James Noble	F1
0001104659-26-037983	2885410	Ordinary Shares	F2			37500.0	F3			D			
0001104659-26-037983	2885411	Ordinary Shares	F2			37500.0	F4			D			
0001104659-26-037983	2885412	Ordinary Shares	F2			40000.0	F5			D			
0001104659-26-037978	2885315	Class A Common Stock				16840.0				D	F7		
0002086541-26-000008	2885212	Common Stock				21235.0	F1			D			
0001104659-26-037958	2884999	Ordinary Shares	F1			114427.0				I		By Brilliant Fashion Holdings Limited	
0001104659-26-037953	2885559	Class B Units				252405.0				I		By Knutsen NYK Offshore Tankers AS	F1
0001104659-26-037953	2885558	Series A Preferred Units				208333.0				I		By Knutsen NYK Offshore Tankers AS	F1
0001104659-26-037953	2885556	Common Units				9661255.0				I		By Knutsen NYK Offshore Tankers AS	F1
0001104659-26-037953	2885557	Common Units				90368.0				I		By KNOT Offshore Partners GP LLC	F1
0001577526-26-000036	2885327	Class A Common Stock				28000.0				I		See Footnote	F3
0001733285-26-000006	2885485	Common Stock				76750.0				I		By Trust	F2
0001733285-26-000006	2885486	Common Stock				10417.0				I		By Spouse IRA	
0001733285-26-000006	2885484	Common Stok				59250.0				I		By Trust	F1
0000891166-26-000032	2885013	Common Stock				48000.0				I		By Children	
0000891166-26-000032	2885012	Common Stock				2000.0				I		By Spouse	
0000891166-26-000031	2885404	Common Stock				19136.0				D			
0001071739-26-000088	2885409	Common Stock				32000.0				I		By family trust	F2
0001071739-26-000086	2884957	Common Stock				30054.0				I		By Grantor Retained Annuity Trust	F2
0001292814-26-002021	2884940	Common Shares	F1			25337.0				I		By M Gaspa Corp.	
0001745268-26-000004	2885017	Common Stock				8107.0				I		By Trust	F1
0001733127-26-000009	2885461	Common Stock				298.0				I		By Volk Advisory Corp	
0001733121-26-000008	2885006	Common Stock				95307.0				I		By Trust	F2
0001733121-26-000008	2885008	Common Stock				121301.0				I		By Trust	F4
0001733121-26-000008	2885007	Common Stock				16328.0				I		By Trust	F3
0001733121-26-000008	2885005	Common Stock				10725.0				I		By Trust	F1
0001733123-26-000004	2885329	Common Stock				866722.0				I		By Trust	F1
0001437749-26-010758	2885274	Common Stock				49602.0	F3			D			
0001437749-26-010758	2885273	Common Stock				18906.0				I		By 401(k)	
0001437749-26-010758	2885272	Common Stock				14409.0				I		By ESOP	
0001641614-26-000015	2885004	Common Stock				500.0				I		By Spouse	
0000320335-26-000141	2885028	Common Stock				0.0				I		N/A	
0001696102-26-000002	2885196	Class A common stock, par value $0.01 per share				422097.0				I		Held by JCMWZ, LLC	F4
0002086410-26-000009	2885463	Common Stock				16032.0	F1			D			
0001641790-26-000004	2884978	Class A common stock, par value $0.01 per share				1275835.0	F4			I		Through Limited Partnership	
0001292814-26-002012	2884996	Common Shares				61.0				D			
0002048129-26-000008	2884920	Common Stock				14299.0	F1			D			
0002048074-26-000009	2885349	Common Stock				13497.0	F1			D			
0001398905-26-000006	2885351	Class C Common Shares				18863.0				I		By 401(k) Plan	
0001398905-26-000006	2885352	Class C Common Shares				1139.0				I		By IRA	
0001493152-26-014340	2885092	Class A Common Shares				75000.0				D			
0001493152-26-014340	2885091	Class B Common Shares				9069000.0				I		Held by Fine Victory Holding Company Limited; Silong Chen may control voting/disposition;	
0001437749-26-010737	2885608	Voting Common Stock				9019978.0				I		By Steven and Ainslie Sugarman Living Trust	F2
0001493152-26-014338	2885089	Class A ordinary share	F1			20529262.0				I		By Apex Cyber Capital Limited	F2
0000950142-26-000972	2885580	Common Stock				17715.0				I		By trust	
0000950142-26-000972	2885581	Common Stock				9935.0				I		By IRA	
0001477720-26-000025	2885594	Class A Common Stock				255199.0	F1			D			
0000950142-26-000970	2885025	Common Stock				4935.0				I		By IRA	
0000950142-26-000970	2885026	Common Stock				6426.0				I		By trust	
0001213900-26-037616	2885152	Ordinary Shares				34855.0	F1			D			
0001213900-26-037609	2885235	Ordinary Shares				150000.0	F1			D			
0001213900-26-037597	2885579	Ordinary Shares				47500.0	F2			D			
0001213900-26-037597	2885578	Ordinary Shares				164492.0	F1			D			
0001213900-26-037591	2885147	Ordinary Shares				75000.0	F1			D			
0001493152-26-014285	2885551	Ordinary Shares				16100000.0				I		by Phoenix Prosperity Investment Limited	
0000912282-26-000533	2885508	Common Shares				7000.0				I		Held by minor child #2	
0000912282-26-000533	2885509	Common Shares				7000.0				I		Held by minor child #3	
0000912282-26-000533	2885512	Common Shares				23000.0				I		Held by minor child #1	
0000912282-26-000533	2885511	Common Shares				20000.0				I		Held by spouse	
0000912282-26-000533	2885510	Common Shares				40000.0				I		Held by PoC Capital LLC	F1
0001837347-26-000002	2885495	Common Stock				10000.0				I		By Trust	
0001302110-26-000014	2885255	Common Stock				7895115.0				I		By Trust	F2
0001302110-26-000014	2885254	Common Stock				900634.0				D		By Trust	F1
0001302110-26-000014	2885257	Common Stock				1000.0				I		By Immediate Family	F4
0001302110-26-000014	2885256	Common Stock				220816.0				I		Uniform Transfer to Minor Account	F3
0001302110-26-000014	2885258	Common Stock				1000.0				I			
0001193125-26-134861	2885497	Common Stock				1483.0	F2			I		By Ensisheim Partners, LLC	F3
0001062993-26-001762	2885337	Common Stock				425000.0				D			
0001292814-26-002007	2884914	Preference shares - BBDC4				244247.0				D			
0001292814-26-002005	2885131	Preference shares - BBDC4				137428.0				D			
0001193125-26-134840	2885519	Common Stock				7000.0	F1			I		See footnote	F2
0001292814-26-002003	2885226	Preference shares - BBDC4				365555.0				D			
0002125666-26-000001	2885489	CLASS B ORDINARY SHARE				3260000.0				I		SMART WEALTHY INVESTMENT LIMITED	
0002125666-26-000001	2885488	CLASS A ORDINARY SHARE				6520000.0				I		SMART WEALTHY INVESTMENT LIMITED	
0000895345-26-000131	2885564	CPOs	F1			605275.0				D			
0000895345-26-000129	2885505	CPOs	F1			605275.0				D			
0001437749-26-010709	2885393	Common Stock				51465.0				I		By joint tenancy with Frances Chang and Sean Tucker	
0001437749-26-010709	2885394	Common Stock				9060.0				I		By Spouse	
0001777676-26-000004	2885468	Common Stock Unvested				190485.0				I		Unvested Stock	
0001968932-26-000006	2885375	Common Stock Unvested				68504.0				I		Unvested Stock	
0001968932-26-000006	2885376	Common Stock				5509.0				I		Deferred Compensation Account	
0001140361-26-012366	2885035	Common Stock				150000.0				I		By Family Trust	
0001140361-26-012364	2885372	Common Stock				28999.0				I		By Family Trust 1	
0001140361-26-012364	2885371	Common Stock				1000000.0				I		By EMJ Remer Family Trust	
0001140361-26-012364	2885369	Common Stock				5148663.0				I		By Buckrail Partners, LLC	
0001140361-26-012364	2885370	Common Stock				35000.0				I		By Remer Family Trust	
0001740940-26-000006	2885275	Common Stock Unvested				97642.0				I		Unvested Stock	
0001740940-26-000006	2885276	Common Stock				26653.5				I		401k Account	
0001740940-26-000006	2885277	Common Stock				12076.7				I		IRA	
0000895345-26-000123	2885405	CPOs	F1			605275.0				D			
0002124319-26-000002	2885126	Common Stock				135539.0				D			
0001106578-26-000023	2885589	Common Stock				10962.0				I		by Trust	F23
0001106578-26-000023	2885585	Common Stock				166.0				I		by Spouse	
0001106578-26-000023	2885586	Common Stock				324518.0				I		by Trust	F20
0001106578-26-000023	2885587	Common Stock				258117.0				I		by Trust	F21
0001106578-26-000023	2885588	Common Stock				45596.0				I		by Trust	F22
0001193125-26-134713	2885339	Common Stock				6835.0				D		By ConocoPhillips Savings Plan	
0001193125-26-134713	2885340	Common Stock				21646.34	F2			I			
0001104659-26-037814	2885366	Common Shares				72500.0				I		BY TRUST	
0001106578-26-000022	2885443	Common Stock				324518.0				I		by Trust	F15
0001106578-26-000022	2885442	Common Stock				166.0				I		by Spouse	
0001106578-26-000022	2885444	Common Stock				258117.0				I		by Trust	F16
0001106578-26-000022	2885445	Common Stock				45596.0				I		by Trust	F17
0001106578-26-000022	2885446	Common Stock				10962.0				I		by Trust	F18
0001213900-26-037520	2885124	Class B Ordinary Shares				272482.0				D			
0001244290-26-000005	2885490	Common Stock				18487.0				I		by Spouse	
0001244290-26-000005	2885493	Depositary Shares of Series F Preferred Stock				3919.0				I			
0001244290-26-000005	2885492	Depositary Shares of Series F Preferred Stock				2382.0				D		By Spouse	
0001244290-26-000005	2885491	Common Stock				8358.0				I		by 401(k) Plan	
0001213900-26-037513	2885161	Class B Ordinary Shares				5006633.0				D			
0001213900-26-037510	2885116	Class B Ordinary Shares				1200000.0				D			
0001213900-26-037510	2885115	Class A Ordinary Shares				397500.0				D			
0001213900-26-037509	2885532	Class A Ordinary Share				0.0				D			
0001213900-26-037509	2885533	Class B Ordinary Share				0.0				D			
0001213900-26-037508	2885449	Class A Ordinary Shares				0.0				D			
0001213900-26-037508	2885450	Class B Ordinary Shares				0.0				D			
0001213900-26-037507	2885427	Class A Ordinary Shares				0.0				D			
0001213900-26-037507	2885428	Class B Ordinary Shares				0.0				D			
0001213900-26-037506	2885250	Class A Ordinary Shares				0.0				D			
0001213900-26-037506	2885251	Class B Ordinary Shares				0.0				D			
0001214659-26-004100	2885456	8.625% Series A Cumulative Perpetual Preferred Stock				10000.0				D			
0001214659-26-004100	2885455	Depositary Shares - 8.375% Series B Cumulative Stock				20000.0				D			
0001213900-26-037500	2884969	Class B Ordinary Shares				12260.0				D			
0001193125-26-134694	2885645	Common Stock				1340.0				I		By Spouse	
0001010178-26-000005	2885222	Common Stock				9816950.0				I		By Trusts	
0001010178-26-000005	2885223	Common Stock				3005037.0				I		By Spouse	
0002078870-26-000004	2885535	Common Stock				467147.0				I		GRAT 9 Follow-On Trust fbo Mary Alice Malone, Jr.	F1
0002078870-26-000004	2885536	Common Stock				14554.0				I		1984 Trust fbo Mary Alice Malone, Jr.	F1
0002078870-26-000004	2885537	Common Stock				14554.0				I		1984 Trust fbo Catherine Dorrance Malone	F2
0002078870-26-000004	2885538	Common Stock				18426809.0				I		Contango Limited LP	F3
0002078870-26-000004	2885539	Common Stock				1333.0				I		Hera Management LLC	F4
0002078870-26-000004	2885540	Common Stock				17274200.0				I		Consul FL, LLC	F5
0002078870-26-000004	2885541	Common Stock				4271414.0				I		Quizhou, LP	F6
0002078870-26-000004	2885542	Common Stock				13218457.0				I		Mary Alice Dorrance Malone Revocable Trust	F7
0001383493-26-000002	2884960	Common Stock				437692.0				I		ADvB 2016 GRAT	
0001383493-26-000002	2884963	Common Stock				180000.0				I		Spousal Trust	F3
0001383493-26-000002	2884962	Common Stock				3944.0				I		Family management company	F2
0001383493-26-000002	2884961	Common Stock				2857.0				I		Family management company	F1
0000794170-26-000070	2885633	Common Stock	F1			162.0				D			
0002124844-26-000003	2885234	No securities are beneficially owned				0.0				D			
0001104659-26-037779	2884911	Non-Voting Limited Partnership Units				0.0	F1, F2			D	F1		
0001062993-26-001755	2885241	Common Stock				62500.0				D			
0001213900-26-037462	2885319	Ordinary Shares	F3, F1			76844.0	F3			D			
0001213900-26-037462	2885318	Ordinary Shares	F1, F2			60000.0	F2			D			
0001213900-26-037462	2885317	Ordinary Shares	F1			52526.0				D			
0001062993-26-001753	2885165	Common Stock				112500.0				D			
0002122855-26-000002	2885470	Class A Common Stock				80.0				D			
0001493152-26-014192	2885549	CLASS A COMMON STOCK				70025.0				I		See Footnote	F2
0001493152-26-014192	2885550	CLASS A COMMON STOCK				800000.0				I		See Footnote	F3
0001493152-26-014189	2885278	Class A Common Stock				504.0				I		See Footnote	F2
0001493152-26-014187	2885265	Class A Common Stock				71513.0				I		See Footnote	F2
0001493152-26-014188	2885359	Class A Common Stock				504.0				I		See Footnote	F2
0001225738-26-000005	2885414	No securities beneficially owned				0.0				D			
0001231919-26-000300	2885110	Common Stock				1867229.0				I		See footnotes	F5, F3
0001385091-26-000012	2885590	Common Stock				10290.0				I		By Trust	
0001193125-26-134567	2885032	Series A Perpetual Stride Preferred Stock				5000.0				D			
0001193125-26-134567	2885030	Series A Perpetual Strife Preferred Stock				10000.0				D			
0001193125-26-134567	2885031	Series A Perpetual Stretch Preferred Stock				29335.0				D			
0001126328-26-000072	2885573	Common Stock				102.0				I		By Spouse 401(k)	
0001126328-26-000072	2885572	Common Stock				1352.0				I		By 401(k)	
0001213900-26-037447	2885306	Common Stock				126000.0				I		By wholly-owned corporation	
0001126328-26-000071	2885240	Common Stock				11.0	F3			I		By Trust	
0001213900-26-037443	2885301	Common Stock				1096686.0				I		by Parkview 2020	F2
0001213900-26-037443	2885300	Common Stock				6085471.0				I		by Third Security	F2
0001213900-26-037443	2885299	Common Stock				1403.0				I		by Lotus	F2
0001213900-26-037443	2885298	Common Stock				4598044.0				I		by Kapital Joe	F2
0001126328-26-000069	2885054	Common Stock				4096.0				I		By 401(k) plan	
0001628280-26-022380	2885644	Common Stock				9263.0				I		Held by The Anthony and Mary Oxley Revocable Trust.	
0001398344-26-005935	2885195	Common Stock				39453.0				D			
0001493152-26-014123	2885518	Common Stock, no par value				90000.0				I		By Managed Account	F4, F2
0001193125-26-134494	2885617	Class A Common Stock				35714.0				D			
0001072627-26-000019	2885432	Common Stock				34100.0				I		Trust-MPF	
0001072627-26-000019	2885431	Common Stock				34100.0				I		Trust-LTF	
0001072627-26-000019	2885430	Common Stock				34100.0				I		Trust-GEF	
0001493152-26-014115	2885516	Ordinary Shares				4974398.0				I		See Footnote	F1
0001493152-26-014115	2885517	Ordinary Shares				1285714.0	F2			D			
0001079973-26-000398	2885140	Common Stock				4800.0				I		By Domestic Partner	
0001104659-26-037685	2885521	Class A Ordinary Shares				7525.0				D			
0001193125-26-134453	2885143	Common Stock				1361.97	F1			I		By ConocoPhillips Savings Plan	
0001493152-26-014110	2885198	Class B2 ordinary share				13362381.0				I			
0001493152-26-014110	2885197	Class B2 ordinary share	F1			18172123.0				D		By DIGLIFE AS	F2
0001213900-26-037396	2885460	ORDINARY SHARES				325726.0				I			
0001213900-26-037396	2885458	ORDINARY SHARES				697760.0				I		SEE FOOTNOTE	F3
0001213900-26-037396	2885457	ORDINARY SHARES				1841884.0	F1			D		SEE FOOTNOTE	F2
0001213900-26-037396	2885459	ORDINARY SHARES				36073.0				I		SEE FOOTNOTE	F4
0001213900-26-037389	2884935	ordinary shares				315661.0				I		See footnote	F1
0002123352-26-000003	2885036	Common Stock				0.0				D			
0001493152-26-014095	2884943	Class B Ordinary Shares				1000000.0				I		See Footnote	F2
0001493152-26-014095	2884942	Class A Ordinary Shares				2551156.0				I		See Footnote	F1
0001493152-26-014091	2885545	Class A Ordinary Shares				2551156.0				I		See footnote	F1
0001493152-26-014091	2885546	Class B Ordinary Shares				1000000.0				I		See footnote	F2
0000950103-26-005082	2885151	Class A Common Share				200000.0				I		By GIBBOAT OVERSEAS LTD	F1
0001062993-26-001746	2885634	Common Stock				138571.0				D			
0001193125-26-134309	2885098	Common Stock				34293.0				I		Through investment entity	F5
0001193125-26-134309	2885097	Common Stock				53862.0				I		By Spouse	F3
0001193125-26-134309	2885096	Common Stock				12143.0				I		by 401(k) plan	
0001193125-26-134286	2885207	Common Stock				1123.0				D			
0002125091-26-000005	2885236	Common Stock				0.0				D			
0001292814-26-002001	2885368	Preferred shares (ITUB4)				703794.0				D			
0001292814-26-001999	2885607	Preferred shares (ITUB4)				58490.0				D			
0001213900-26-037313	2885390	Class B ordinary shares				26772357.0				I		By YMT 360 Holdings Limited	
0002125091-26-000004	2885472	Common Stock				0.0				D			
0001213900-26-037310	2884983	Class B ordinary shares				74986698.0				I		By YMT Tech Holdings Limited	
0001213900-26-037306	2884933	Class B ordinary shares				9846370.0				I		By YMT Innovation Holdings Limited	
0001213900-26-037304	2885381	Class B ordinary shares				231167735.0				I		By Yimutian Holdings Limited	
0001213900-26-037304	2885380	Class A ordinary shares				44245706.0				I		By Yimutian Holdings Limited	
0001193125-26-134249	2885246	Common Stock				500.0				I			
0001193125-26-134249	2885245	Common Stock				3000.0	F1			D		By IRA	
0001294397-26-000003	2885173	Klarna Grou plc Ordinary Shares				78310.0	F1			D			
0002125091-26-000003	2884922	Common Stock				0.0				D			
0001062993-26-001737	2885465	Common Stock				716777.0				I		By Unimage Enterprises Ltd.	F2
0001062993-26-001737	2885466	Common Stock				1200.0				I			
0001062993-26-001737	2885464	Common Stock				300.0				D		By Akilic Ventures Ltd.	F1
0001062993-26-001735	2884949	Common Stock				3908.0				D			
0001292814-26-001992	2885639	Class A common shares				109281.0	F1			I		By Corporation	
0001292814-26-001990	2885552	COMMON STOCK (BVMF: CSAN3)				1960840.0				D			
0001292814-26-001990	2885553	ADS CSAN1				1613666.0				D			
0001292814-26-001990	2885554	LONG TERM INCENTIVE (BVMF: CSAN3)2				6347353.0				D			
0001104659-26-037588	2885065	Common Stock, par value $0.01 per share				80000.0				I		By EBC 2013 Family Trust	
0001213900-26-037210	2885513	Ordinary Shares, $0.0001 nominal value per share				22257.0	F1			D			
0001493152-26-013996	2884966	Common Shares, par value US$0.43696 per share				2946.0				I		By Hyperfinite Galaxy Holding Limited	F1
0001493152-26-013996	2884965	Common Shares, par value US$0.43696 per share				11141079.0				I		By Digital Grid (Hong Kong) Technology Co., Limited	F1
0001493152-26-013990	2884912	Class B Ordinary Shares				6355000.0				I		Polar Energy Company Limited, a BVI company wholly owned by the reporting person.	
0001493152-26-013991	2885592	Class B Ordinary Shares				6355000.0				I		By WISE-POWER ENERGY SERVICES CO., LTD., a BVI company 50% owned by the reporting person and Jin Wu.	
0001193125-26-134013	2885232	Common Stock				20478.0				I		401k plan	
0001193125-26-134013	2885233	Common Stock				2565.0				I		by spouse	F3
0000912593-26-000148	2884930	COMMON STOCK, $0.01 PAR VALUE				939.0				I		Owned by spouse	
0000912593-26-000148	2884929	COMMON STOCK, $0.01 PAR VALUE				11301.0				I		Owned by revocable trust	
0002015793-26-000006	2885626	Citizens, Inc. Class A Common Stock				130100.0				I		Spouse	
0001213900-26-037176	2884980	American Depositary Shares	F1			7984.0				D			
0001213900-26-037176	2884981	Restricted Share Units	F2			319.0				D			
0001294280-26-000003	2885183	Common Stock				295710.0				D		By Anna S. Culp Irrevocable Trust	F4
0001294280-26-000003	2885184	Common Stock				1740.0				I		By Robert G. Culp, V Irrevocable Trust	F5
0001294280-26-000003	2885185	Common Stock				1740.0				I			
0000356171-26-000021	2885193	Common Stock				166.27				I		By daughter	
0000356171-26-000021	2885192	Common Stock				9898.03				I		By ESOP	
0000356171-26-000020	2885270	Common Stock				2700.0				I		By family trust	
0000356171-26-000020	2885269	Common Stock				1761.43				I		By ESOP	
0000356171-26-000019	2885128	Common Stock				42972.15				I		By ESOP	
0000356171-26-000019	2885130	Common Stock				1113794.0				I		ESOP Trustee	
0000356171-26-000019	2885129	Common Stock				277.07				I		By spouse	
0000356171-26-000018	2885321	Common Stock				2380.83				I		By ESOP	
0000356171-26-000017	2884977	Common Stock				11831.95				I		By ESOP	
0001213900-26-037135	2885543	Common Stock				38700.0				D		By MMBD Information Technology Limited	
0001213900-26-037135	2885544	Common Stock				2250.0				I			
0001213900-26-037132	2885237	Common Stock				4375.0				D			
0000919574-26-001976	2885605	Common shares				8750.0				I		By WHR Capital Ltd., a company wholly owned by the Reporting Person	
0001160193-26-000002	2885107	Common Stock				1890.0				I		The Dina Dublon Family Trust	
0000912593-26-000144	2885104	COMMON STOCK, $0.01 PAR VALUE				10.0				I		Shares held in IRA	
0002124911-26-000002	2885625	Equity Shares				350370.0	F1			D			
0002124911-26-000002	2885624	Equity Shares				200000.0				D			
0001493152-26-013941	2884931	Ordinary Shares				1765.0				D			
0001193125-26-133735	2885071	Common Stock				6482.0				I		by 401(k) plan	
0001213900-26-037074	2885020	Ordinary shares	F2			9559.0				D			
0001213900-26-037074	2885024	Ordinary shares	F6			9445.0				D			
0001213900-26-037074	2885023	Ordinary shares	F5			7752.0				D			
0001213900-26-037074	2885022	Ordinary shares	F4			96774.0				D			
0001213900-26-037074	2885021	Ordinary shares	F3			7621.0				D			
0001213900-26-037074	2885019	Ordinary shares	F1			4120.0				D			
0001213900-26-037074	2885018	Ordinary shares				25680.0				D			
0001213900-26-037069	2885182	Class A Common Stock, par value $0.002 per share				208550.0	F1			I		By Luckylily Ltd	F2
0001062993-26-001724	2885280	Common Stock				8900.0				D			
0000950157-26-000449	2885057	Class A Ordinary Shares				16188182.59				D	F1, F2		
0001683168-26-002476	2885127	Common Stock				104500.0				D			
0001683168-26-002475	2884979	Common Stock				104500.0				D			
0001193125-26-133646	2885314	Common Stock				6550.0				I		Through 401(k) plan	
0001104659-26-037477	2885619	Ordinary shares				6871094.0				I		By: M&G Investment Management Limited	F1
0001213900-26-037033	2885118	Restricted Share Units	F2			319.0				D			
0001213900-26-037033	2885117	American Depositary Shares	F1			7972.0				D			
0001193125-26-133589	2885618	Common Stock				4242.0				I		through 401(k) plan	
0000945621-26-000505	2885303	Common Shares of Beneficial Interest				0.0				D			
0000945621-26-000503	2885433	Common Shares of Beneficial Interest				0.0				D			
0000945621-26-000501	2885602	Common Shares of Beneficial Interest				0.0				D			
0001213900-26-037015	2884998	Class B ordinary shares, no par value				2625000.0				I		By Corporation	F1
0001213900-26-037015	2884997	Class A ordinary shares, no par value				1804600.0				I		By Corporation	F1
0001213900-26-037013	2885106	Class B ordinary shares, no par value				2275000.0				I		By Corporation	F1
0001213900-26-037013	2885105	Class A ordinary shares, no par value				1563800.0				I		By Corporation	F1
0000936969-26-000002	2885000	Common stock, $.01 par value				640733.0				D			
0001213900-26-037003	2885385	Ordinary Shares				244032.0				I		By HFGFR INC. (through Silver Thousand International)	F2
0001213900-26-037003	2885384	Class A Shares				1488000.0				I		By HFGFR INC.	F1
0001213900-26-037002	2885418	Ordinary Shares				1159996.0				I		By River Business Limited and Silver Thousand International	F1
0001493152-26-013897	2885507	Ordinary Shares				35120.0				D			
0001493152-26-013899	2885597	Ordinary Shares				0.0				D			
0001493152-26-013901	2885100	Ordinary Shares				5107305.0				I			
0001493152-26-013901	2885099	Ordinary Shares				4631383.0				D		Held by Advaitha Family Trust.	
0001493152-26-013896	2885029	Ordinary Shares				61480.0				D			
0001493152-26-013898	2885215	Ordinary Shares				56188.0				D			
0001493152-26-013900	2885149	Ordinary Shares				212636.0				D			
0001493152-26-013894	2885320	Ordinary Shares				40891020.0				D			
0001493152-26-013895	2885353	Ordinary Shares				0.0				D			
0001104659-26-037446	2884954	BDMD				57180.0				D			
0001213900-26-036988	2885047	Class A Ordinary Shares	F1			2268156.0				I		By HEALTHYSEVEN LIMITED	F2
0001213900-26-036988	2885052	Class B Ordinary Shares				800000.0				I		By HEALTHYTEN LIMITED	F6
0001213900-26-036988	2885051	Class B Ordinary Shares	F1			1242042.0				I		By HEALTHYSEVEN LIMITED	F2
0001213900-26-036988	2885050	Class A Ordinary Shares				108686.0				I		By Guangzhou Jinyue Management Consulting Partnership (Limited Partnership)	F5
0001213900-26-036988	2885049	Class A Ordinary Shares				500000.0				I		By Guangzhou Jinshang Management Consulting Partnership (Limited Partnership)	F4
0001213900-26-036988	2885048	Class A Ordinary Shares				800000.0				I		By Guangzhou Jinpin Management Consulting Partnership (Limited Partnership)	F3
0001954444-26-000001	2885435	AGRO3				0.0				D			
0001493152-26-013878	2885471	Class B ordinary shares				27123442.0				I		By Innotech Group Holdings Limited	
0001713718-26-000001	2885363	Common Stock, par value $0.001 per share				6251.0				D			
